id,ident,type,name,lat,long,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
4408,LKPR,large_airport,Ruzyně International Airport,50.100799560546875,14.260000228881836,1247,EU,CZ,CZ-PR,Prague,1,LKPR,PRG,,http://www2.prg.aero/en/site/klient/klient_index.htm,http://en.wikipedia.org/wiki/Ruzyn%C4%9B_International_Airport,Letiště Praha-Ruzyně
2270,EDSB,large_airport,Karlsruhe Baden-Baden Airport,48.7793998718,8.08049964905,408,EU,DE,DE-BW,Baden-Baden,1,EDSB,FKB,,http://www.baden-airpark.de/startseite.html,http://en.wikipedia.org/wiki/Baden_Airpark,Baden Airpark
2209,EDDB,large_airport,Berlin-Schönefeld International Airport,52.380001068115,13.522500038147,157,EU,DE,DE-BR,Berlin,1,EDDB,SXF,,http://www.berlin-airport.de/en/travellers-sxf/index.php,http://en.wikipedia.org/wiki/Berlin-Sch%C3%B6nefeld_International_Airport,"BER, Schoenefeld"
2223,EDDT,large_airport,Berlin-Tegel International Airport,52.5597000122,13.2876996994,122,EU,DE,DE-BE,Berlin,1,EDDT,TXL,,http://www.berlin-airport.de/en/travellers-txl/index.php,http://en.wikipedia.org/wiki/Berlin-Tegel_International_Airport,"BER, Otto Lilienthal"
2225,EDDW,large_airport,Bremen Airport,53.0475006104,8.78666973114,14,EU,DE,DE-HB,Bremen,1,EDDW,BRE,,,http://en.wikipedia.org/wiki/Bremen_Airport,
2216,EDDK,large_airport,Cologne Bonn Airport,50.8658981323,7.1427397728,302,EU,DE,DE-NW,Cologne,1,EDDK,CGN,,http://www.koeln-bonn-airport.de/en/,http://en.wikipedia.org/wiki/Cologne_Bonn_Airport,Köln
2247,EDLW,large_airport,Dortmund Airport,51.51829910279999,7.61223983765,425,EU,DE,DE-NW,Dortmund,1,EDLW,DTM,,,http://en.wikipedia.org/wiki/Dortmund_Airport,
2210,EDDC,large_airport,Dresden Airport,51.1328010559082,13.767200469970703,755,EU,DE,DE-SN,Dresden,1,EDDC,DRS,,http://www.dresden-airport.de/en/index.html,http://en.wikipedia.org/wiki/Dresden_Airport,
2217,EDDL,large_airport,Düsseldorf International Airport,51.28950119018555,6.766779899597168,147,EU,DE,DE-NW,Düsseldorf,1,EDDL,DUS,,http://www.duesseldorf-international.de/,http://en.wikipedia.org/wiki/D%C3%BCsseldorf_International_Airport,
2212,EDDF,large_airport,Frankfurt am Main International Airport,50.0264015198,8.54312992096,364,EU,DE,DE-HE,Frankfurt-am-Main,1,EDDF,FRA,,http://www.frankfurt-airport.de/,http://en.wikipedia.org/wiki/Frankfurt_Airport,"EDAF, Rhein-Main Air Base"
2214,EDDH,large_airport,Hamburg Airport,53.630401611328,9.9882297515869,53,EU,DE,DE-HH,Hamburg,1,EDDH,HAM,,https://www.hamburg-airport.de/en/,http://en.wikipedia.org/wiki/Hamburg_Airport,
2224,EDDV,large_airport,Hannover Airport,52.461101532,9.685079574580001,183,EU,DE,DE-NI,Hannover,1,EDDV,HAJ,,,http://en.wikipedia.org/wiki/Hanover/Langenhagen_International_Airport,
2220,EDDP,large_airport,Leipzig Halle Airport,51.43239974975586,12.241600036621094,465,EU,DE,DE-SN,Leipzig,1,EDDP,LEJ,,http://www.leipzig-halle-airport.de/en/index.html,http://en.wikipedia.org/wiki/Leipzig/Halle_Airport,Schkeuditz Airport
2218,EDDM,large_airport,Munich International Airport,48.353801727295,11.786100387573,1487,EU,DE,DE-BY,Munich,1,EDDM,MUC,,http://www.munich-airport.com/,http://en.wikipedia.org/wiki/Munich_International_Airport,"Franz Josef Strauss International Airport, Flughafen München Franz Josef Strauß"
