id,ident,type,name,lat,long,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
313262,SBSG,large_airport,Governador Aluízio Alves International Airport,-5.768056,-35.376111,272,SA,BR,BR-RN,Natal,1,SBSG,NAT,,http://www.natal.aero,http://en.wikipedia.org/wiki/Greater_Natal_International_Airport,"Natal, Greater Natal International Airport,  Augusto Severo International Airport"
5901,SBFL,large_airport,Hercílio Luz International Airport,-27.670278549194336,-48.5525016784668,16,SA,BR,BR-SC,Florianópolis,1,SBFL,FLN,,http://www.infraero.gov.br/usa/aero_prev_home.php?ai=228,http://en.wikipedia.org/wiki/Herc%C3%ADlio_Luz_International_Airport,http://www.infraero.gov.br/usa/aero_prev_home.php?ai=228
5910,SBGR,large_airport,Guarulhos - Governador André Franco Montoro International Airport,-23.435556411743164,-46.47305679321289,2459,SA,BR,BR-SP,São Paulo,1,SBGR,GRU,,,http://en.wikipedia.org/wiki/S%C3%A3o_Paulo-Guarulhos_International_Airport,
6015,SCEL,large_airport,Comodoro Arturo Merino Benítez International Airport,-33.393001556396484,-70.78579711914062,1555,SA,CL,CL-RM,Santiago,1,SCEL,SCL,,http://www.aeropuertosantiago.cl/ingles/index.php,http://en.wikipedia.org/wiki/Comodoro_Arturo_Merino_Ben%C3%ADtez_International_Airport,
6104,SKBO,large_airport,El Dorado International Airport,4.70159,-74.1469,8361,SA,CO,CO-CUN,Bogota,1,SKBO,BOG,BOG,,http://en.wikipedia.org/wiki/El_Dorado_International_Airport,
308273,SEQM,large_airport,Mariscal Sucre International Airport,-0.129166666667,-78.3575,7841,SA,EC,EC-P,Quito,1,SEQM,UIO,UIO,,http://en.wikipedia.org/wiki/Mariscal_Sucre_International_Airport,Nuevo Aeropuerto Internacional Mariscal Sucre
6061,SELT,large_airport,Cotopaxi International Airport,-0.9068329930310001,-78.6157989502,9205,SA,EC,EC-X,Latacunga,1,SELT,LTX,,http://www.dgac.gob.ec/latacunga/,http://es.wikipedia.org/wiki/Aeropuerto_Internacional_Cotopaxi,"Latacunga, Vulcano, Ecuador, Cargo, Long runway, Height"
6243,SPZO,large_airport,Alejandro Velasco Astete International Airport,-13.535699844400002,-71.9387969971,10860,SA,PE,PE-CUS,Cusco,1,SPZO,CUZ,,http://www.corpac.gob.pe/,http://en.wikipedia.org/wiki/Alejandro_Velasco_Astete_International_Airport,
6217,SPIM,large_airport,Jorge Chávez International Airport,-12.021900177,-77.11430358890001,113,SA,PE,PE-LIM,Lima,1,SPIM,LIM,,http://www.lap.com.pe/,http://en.wikipedia.org/wiki/Jorge_Ch%C3%A1vez_International_Airport,
6247,SUMU,large_airport,Carrasco International /General C L Berisso Airport,-34.838401794433594,-56.030799865722656,105,SA,UY,UY-MO,Montevideo,1,SUMU,MVD,,,http://en.wikipedia.org/wiki/Carrasco_International_Airport,
